amount,hour,transaction_type,merchant_category,country,device_risk_score,ip_risk_score,account_age_days,previous_transactions,international,is_fraud
8.19,0,ATM,Travel,India,0.205,0.357,1987,10,0,0
27.27,18,Online,Food,USA,0.423,0.167,347,14,1,0
51.26,1,ATM,Travel,India,0.722,0.215,2657,12,0,0
33.59,15,ATM,Entertainment,India,0.589,0.077,599,11,0,0
265.52,4,POS,Grocery,India,0.15,0.067,864,13,0,0
56.55,23,POS,Food,India,0.177,0.26,532,18,0,0
241.88,18,POS,Grocery,India,0.192,0.127,158,14,0,0
70.93,2,POS,Entertainment,India,0.097,0.091,579,12,0,0
69.22,21,Online,Entertainment,UK,0.243,0.324,1300,13,1,0
61.02,6,POS,Entertainment,UK,0.196,0.138,42,10,1,0
66.94,13,Online,Travel,India,0.174,0.219,736,12,0,0
371.96,2,POS,Travel,Singapore,0.785,0.12,451,11,1,1
6.56,2,POS,Utilities,UAE,0.235,0.319,2190,16,1,0
9.01,5,Online,Entertainment,India,0.689,0.337,2051,11,0,0
38.74,12,Online,Travel,UAE,0.257,0.402,646,9,1,0
67.66,13,Online,Grocery,India,0.309,0.076,2597,8,0,0
132.97,20,ATM,Electronics,USA,0.338,0.249,235,10,1,0
107.03,3,Bank Transfer,Food,India,0.249,0.541,476,12,0,0
45.41,17,Online,Electronics,UK,0.157,0.211,1419,11,1,0
184.76,0,POS,Entertainment,Singapore,0.145,0.341,2726,17,1,1
186.83,6,POS,Food,UAE,0.133,0.169,846,22,1,0
80.16,4,Bank Transfer,Utilities,UAE,0.601,0.262,2890,7,1,0
174.63,2,Online,Utilities,India,0.144,0.08,764,13,0,0
87.59,14,ATM,Electronics,USA,0.58,0.336,1898,16,1,0
38.04,21,Online,Utilities,India,0.483,0.104,944,7,0,0
134.0,16,POS,Electronics,India,0.33,0.651,1791,13,0,0
74.49,20,Online,Grocery,India,0.128,0.075,919,19,0,0
66.78,14,ATM,Travel,UAE,0.172,0.333,735,15,1,0
290.89,1,Bank Transfer,Electronics,USA,0.214,0.374,1326,6,1,0
5.75,8,POS,Utilities,India,0.399,0.002,992,20,0,0
16.16,19,Online,Entertainment,UAE,0.381,0.584,1731,18,1,1
20.35,1,POS,Grocery,UK,0.032,0.313,1471,8,1,0
46.37,2,Bank Transfer,Grocery,India,0.192,0.356,1616,9,0,0
51.7,20,POS,Food,India,0.188,0.244,446,8,0,0
14.77,1,ATM,Food,USA,0.192,0.402,1786,12,1,0
24.9,23,POS,Entertainment,USA,0.489,0.263,2182,10,1,0
28.2,18,Online,Travel,India,0.239,0.147,387,9,0,0
778.54,15,Online,Entertainment,India,0.083,0.306,602,15,0,0
404.13,12,POS,Electronics,India,0.422,0.233,180,11,0,0
44.18,2,ATM,Electronics,India,0.264,0.099,679,14,0,0
46.36,9,Bank Transfer,Electronics,India,0.538,0.077,2795,7,0,0
21.13,19,Bank Transfer,Utilities,India,0.332,0.15,287,18,0,0
9.89,21,POS,Electronics,India,0.271,0.125,669,14,0,0
59.33,10,ATM,Food,India,0.141,0.098,416,10,0,0
24.59,20,Online,Utilities,India,0.496,0.254,2491,19,0,0
61.26,18,Online,Grocery,India,0.357,0.299,1740,12,0,0
13.46,1,Online,Food,India,0.217,0.419,199,16,0,0
31.13,14,Online,Entertainment,UAE,0.306,0.415,709,12,1,0
77.37,14,POS,Utilities,India,0.03,0.241,2027,4,0,0
96.18,13,Online,Grocery,India,0.217,0.656,2257,19,0,0
101.24,18,POS,Entertainment,India,0.392,0.141,1809,7,0,0
17.81,21,POS,Entertainment,USA,0.303,0.324,1697,12,1,0
156.76,13,POS,Electronics,India,0.299,0.14,1388,10,0,0
29.96,7,POS,Entertainment,India,0.342,0.211,2511,8,0,0
125.57,23,ATM,Electronics,Singapore,0.412,0.378,1121,13,1,0
65.98,23,Online,Food,UK,0.332,0.443,2895,14,1,0
16.84,16,POS,Electronics,India,0.314,0.364,2593,11,0,0
48.61,15,ATM,Travel,India,0.252,0.202,2786,9,0,0
96.1,2,Bank Transfer,Entertainment,UAE,0.185,0.159,2109,7,1,0
123.1,9,Bank Transfer,Travel,UAE,0.504,0.3,1034,9,1,0
57.92,4,ATM,Travel,USA,0.219,0.393,1940,8,1,0
308.52,12,Bank Transfer,Utilities,UK,0.15,0.211,1382,8,1,0
182.64,19,Online,Utilities,Singapore,0.178,0.321,2782,24,1,0
51.59,5,Bank Transfer,Food,UAE,0.146,0.143,2721,13,1,0
141.19,23,Bank Transfer,Food,India,0.283,0.438,202,10,0,0
461.18,3,POS,Electronics,UAE,0.136,0.202,2260,13,1,0
473.66,2,Bank Transfer,Food,USA,0.246,0.335,2247,10,1,0
19.53,23,ATM,Food,India,0.538,0.466,1834,11,0,0
26.4,2,ATM,Food,India,0.327,0.312,2903,16,0,0
294.39,17,Bank Transfer,Food,India,0.265,0.37,236,9,0,0
23.14,18,Online,Food,UK,0.071,0.404,2913,19,1,0
17.77,7,Online,Utilities,USA,0.3,0.444,13,14,1,0
41.01,1,Online,Entertainment,India,0.018,0.388,521,11,0,0
101.52,7,ATM,Electronics,India,0.422,0.249,1937,14,0,0
60.2,1,Bank Transfer,Food,India,0.054,0.468,2429,10,0,0
34.79,16,Bank Transfer,Travel,India,0.058,0.286,2715,14,0,0
33.98,21,ATM,Travel,India,0.321,0.214,177,11,0,0
32.71,23,Bank Transfer,Entertainment,India,0.265,0.276,2470,11,0,0
27.67,19,POS,Food,India,0.443,0.486,2076,11,0,0
653.04,18,Bank Transfer,Grocery,India,0.433,0.401,1205,10,0,0
89.79,21,POS,Electronics,India,0.152,0.43,1924,13,0,0
161.86,18,Online,Utilities,India,0.258,0.368,1188,13,0,0
40.89,15,POS,Food,UAE,0.223,0.393,1367,12,1,0
55.37,23,Online,Utilities,UK,0.521,0.307,624,12,1,0
32.67,7,Online,Food,USA,0.324,0.319,1034,12,1,0
4.7,9,POS,Grocery,India,0.211,0.192,1990,10,0,0
16.81,21,Online,Travel,India,0.233,0.613,718,12,0,0
10.91,7,ATM,Grocery,Singapore,0.037,0.163,2381,13,1,0
7.03,7,POS,Entertainment,India,0.557,0.21,1048,8,0,0
20.18,3,Online,Entertainment,India,0.629,0.438,2769,12,0,0
250.88,6,POS,Electronics,India,0.611,0.358,299,11,0,0
63.79,14,POS,Entertainment,USA,0.108,0.199,1052,20,1,0
242.39,21,POS,Food,India,0.378,0.263,907,10,0,0
100.58,3,Online,Entertainment,India,0.416,0.354,1712,12,0,0
145.85,16,ATM,Entertainment,India,0.427,0.531,1523,12,0,0
27.09,18,Online,Electronics,India,0.19,0.377,195,17,0,0
112.61,21,ATM,Food,India,0.297,0.492,1544,12,0,0
138.2,18,Online,Travel,UK,0.268,0.296,1598,14,1,0
37.46,3,ATM,Entertainment,UAE,0.408,0.13,1731,14,1,0
116.69,11,Bank Transfer,Utilities,India,0.438,0.184,1603,11,0,0
117.47,22,Online,Travel,India,0.17,0.195,2181,16,0,0
38.49,21,POS,Entertainment,India,0.122,0.261,2161,12,0,0
21.7,14,POS,Grocery,India,0.369,0.169,350,8,0,0
20.41,23,Online,Electronics,Singapore,0.033,0.115,1913,15,1,0
72.71,16,Online,Entertainment,USA,0.475,0.249,2550,14,1,0
92.48,1,POS,Travel,India,0.414,0.419,1398,16,0,0
30.19,21,Bank Transfer,Travel,UK,0.522,0.017,1098,12,1,0
68.48,4,Bank Transfer,Electronics,India,0.255,0.767,1564,15,0,0
117.98,9,POS,Grocery,India,0.246,0.259,574,13,0,0
123.74,5,POS,Food,UAE,0.237,0.174,1361,7,1,0
314.78,17,POS,Grocery,India,0.275,0.239,538,10,0,0
239.12,0,Online,Travel,India,0.18,0.241,1077,9,0,0
24.5,15,Bank Transfer,Travel,Singapore,0.234,0.323,2417,13,1,0
359.09,20,Online,Utilities,India,0.515,0.419,2760,10,0,0
39.21,18,POS,Utilities,India,0.598,0.368,1434,13,0,0
189.59,7,Online,Grocery,India,0.112,0.167,2801,10,0,0
71.38,21,POS,Grocery,India,0.102,0.558,773,14,0,0
44.16,8,Online,Entertainment,India,0.682,0.211,758,13,0,0
10.94,16,Online,Travel,India,0.201,0.04,2794,13,0,0
56.17,12,Online,Food,India,0.053,0.649,1864,7,0,0
14.02,1,Online,Utilities,India,0.364,0.155,1758,12,0,0
175.44,0,Bank Transfer,Grocery,India,0.198,0.3,1084,15,0,0
303.93,4,POS,Utilities,Singapore,0.096,0.622,1903,11,1,0
30.06,22,ATM,Grocery,India,0.284,0.159,2821,17,0,0
90.19,22,POS,Travel,India,0.223,0.503,744,14,0,0
32.29,9,POS,Food,UK,0.307,0.311,2284,8,1,0
35.57,23,Bank Transfer,Utilities,India,0.115,0.28,1199,16,0,0
144.68,1,Online,Food,India,0.536,0.149,1053,14,0,0
64.17,23,POS,Grocery,India,0.387,0.267,921,9,0,0
379.8,5,Online,Travel,India,0.266,0.212,2584,13,0,0
41.17,0,ATM,Entertainment,UAE,0.324,0.242,738,8,1,0
181.15,18,Bank Transfer,Food,India,0.296,0.232,1279,9,0,0
73.51,9,Online,Grocery,Singapore,0.323,0.299,2696,6,1,0
147.79,7,POS,Food,India,0.242,0.166,1463,14,0,0
42.64,18,Online,Electronics,India,0.338,0.193,386,13,0,0
63.46,7,POS,Grocery,India,0.343,0.35,2928,16,0,0
59.41,18,POS,Travel,India,0.073,0.342,268,20,0,0
28.9,4,Online,Utilities,India,0.312,0.524,2689,6,0,1
129.29,2,ATM,Entertainment,USA,0.35,0.043,1141,16,1,0
127.77,7,POS,Grocery,India,0.267,0.372,1954,10,0,0
120.73,14,ATM,Grocery,Singapore,0.212,0.315,1973,13,1,0
310.12,5,ATM,Electronics,UAE,0.463,0.338,804,9,1,0
284.11,3,ATM,Electronics,India,0.031,0.046,947,20,0,0
45.84,17,POS,Electronics,UAE,0.248,0.56,400,9,1,0
96.84,11,Online,Entertainment,India,0.429,0.251,607,7,0,0
35.74,10,POS,Travel,India,0.306,0.303,165,13,0,0
68.26,5,POS,Grocery,India,0.074,0.087,164,14,0,0
36.61,0,POS,Entertainment,India,0.217,0.168,1250,13,0,0
337.0,1,POS,Utilities,India,0.207,0.16,2498,14,0,0
95.94,16,POS,Travel,India,0.311,0.433,1180,12,0,0
53.62,1,POS,Electronics,Singapore,0.166,0.486,2209,11,1,0
220.0,5,Bank Transfer,Food,India,0.247,0.2,980,11,0,0
7.61,21,ATM,Grocery,UK,0.258,0.22,1934,14,1,0
8.9,8,POS,Utilities,India,0.214,0.251,1564,16,0,0
147.8,17,Bank Transfer,Travel,India,0.237,0.251,2199,9,0,0
70.84,8,POS,Food,India,0.037,0.144,2037,17,0,0
85.67,22,Online,Electronics,India,0.035,0.097,2524,6,0,0
17.7,19,ATM,Entertainment,India,0.169,0.471,1661,16,0,0
65.15,11,Online,Travel,UK,0.277,0.184,798,9,1,0
494.48,16,POS,Grocery,India,0.676,0.438,251,13,0,1
152.05,9,Online,Food,India,0.368,0.108,2372,8,0,0
79.02,22,Online,Utilities,UK,0.423,0.176,604,14,1,0
42.99,8,Online,Food,USA,0.09,0.325,310,13,1,0
44.94,20,Online,Entertainment,UAE,0.279,0.243,1277,14,1,0
7.93,14,Online,Electronics,India,0.269,0.186,2799,11,0,0
86.28,15,POS,Grocery,USA,0.215,0.482,964,11,1,0
155.32,8,Online,Electronics,India,0.171,0.109,1694,10,0,0
13.8,19,POS,Utilities,USA,0.292,0.244,1396,8,1,0
34.42,17,Bank Transfer,Entertainment,India,0.429,0.314,2291,8,0,0
20.96,19,ATM,Entertainment,India,0.094,0.339,2449,16,0,0
25.4,19,Online,Travel,UAE,0.49,0.436,1461,8,1,0
70.35,3,ATM,Food,USA,0.326,0.201,1303,9,1,0
8.29,21,POS,Food,India,0.2,0.245,1201,18,0,0
123.26,20,POS,Food,India,0.128,0.228,2120,10,0,0
141.72,5,Online,Utilities,USA,0.333,0.45,2118,15,1,0
51.88,23,Online,Entertainment,India,0.092,0.158,781,8,0,0
5.58,12,ATM,Travel,India,0.312,0.43,989,10,0,0
24.62,7,Bank Transfer,Travel,India,0.363,0.118,2153,11,0,0
228.81,5,Online,Food,India,0.022,0.111,1800,15,0,0
4.15,8,Online,Utilities,India,0.321,0.15,2195,14,0,0
47.11,0,Online,Utilities,UK,0.055,0.365,5,15,1,0
20.49,16,POS,Food,India,0.013,0.193,2655,11,0,0
149.09,16,POS,Food,Singapore,0.222,0.12,2514,9,1,0
33.95,16,Bank Transfer,Entertainment,UAE,0.291,0.17,2676,15,1,0
99.88,13,ATM,Utilities,India,0.251,0.189,501,16,0,0
117.39,8,Bank Transfer,Grocery,USA,0.337,0.313,1690,14,1,0
418.31,17,POS,Travel,India,0.488,0.285,1841,8,0,0
54.44,20,POS,Electronics,UAE,0.493,0.405,868,22,1,0
97.13,2,Online,Food,India,0.189,0.385,2565,11,0,0
15.1,9,Bank Transfer,Travel,India,0.171,0.188,179,15,0,0
219.29,23,POS,Travel,India,0.177,0.021,2041,11,0,0
31.17,20,POS,Grocery,UAE,0.123,0.217,1714,10,1,0
38.06,23,POS,Grocery,India,0.267,0.348,1421,10,0,0
65.22,4,ATM,Electronics,UK,0.517,0.236,2313,10,1,0
13.97,11,ATM,Utilities,India,0.487,0.152,1513,11,0,0
83.83,3,Online,Travel,India,0.217,0.272,202,10,0,0
175.47,20,POS,Travel,India,0.14,0.391,1318,7,0,0
89.38,12,ATM,Travel,India,0.222,0.401,2801,19,0,0
13.61,5,Online,Utilities,India,0.304,0.404,104,22,0,0
58.92,2,POS,Food,India,0.324,0.271,180,9,0,0
140.05,17,POS,Food,UK,0.295,0.188,2322,12,1,0
10.2,19,Online,Travel,USA,0.248,0.377,327,14,1,0
22.77,21,POS,Utilities,India,0.274,0.286,2868,11,0,0
160.22,23,Bank Transfer,Travel,India,0.648,0.492,1625,7,0,0
87.37,19,Online,Utilities,India,0.661,0.477,2161,10,0,0
100.68,18,Online,Utilities,USA,0.227,0.23,2099,14,1,0
428.16,19,Online,Food,UK,0.22,0.385,2696,8,1,0
106.54,23,Online,Utilities,Singapore,0.196,0.079,2996,12,1,0
128.75,11,POS,Utilities,Singapore,0.558,0.123,2614,6,1,0
1002.99,18,Online,Food,India,0.432,0.393,2032,16,0,0
53.85,19,POS,Entertainment,India,0.09,0.447,1066,19,0,0
30.03,2,Online,Food,Singapore,0.405,0.123,969,9,1,0
102.29,16,ATM,Food,India,0.509,0.125,1089,6,0,0
103.44,8,Online,Electronics,India,0.485,0.056,2910,10,0,0
39.38,3,Online,Food,India,0.137,0.61,1378,8,0,0
23.75,4,POS,Travel,UK,0.334,0.347,125,17,1,0
671.72,2,Online,Travel,USA,0.19,0.125,275,11,1,0
92.47,21,POS,Travel,UAE,0.201,0.335,1670,9,1,0
32.06,18,Bank Transfer,Grocery,India,0.184,0.161,135,10,0,0
166.66,2,Online,Utilities,India,0.056,0.069,2046,12,0,0
59.79,15,Bank Transfer,Travel,India,0.281,0.219,8,9,0,0
51.79,15,Online,Entertainment,UK,0.266,0.787,2002,16,1,0
117.01,12,ATM,Electronics,India,0.289,0.383,1586,17,0,0
18.32,14,POS,Electronics,UAE,0.386,0.361,2004,9,1,0
94.88,21,POS,Travel,India,0.483,0.117,1616,11,0,0
451.67,12,POS,Entertainment,UK,0.049,0.2,1191,12,1,0
106.29,15,POS,Food,UK,0.113,0.542,234,8,1,0
45.78,13,Bank Transfer,Electronics,India,0.14,0.315,1787,14,0,0
40.16,9,ATM,Food,USA,0.534,0.131,533,12,1,0
44.24,21,Online,Entertainment,India,0.396,0.514,2659,13,0,0
51.73,9,Online,Food,UK,0.308,0.386,2224,8,1,0
45.7,19,Online,Electronics,UK,0.267,0.092,2841,7,1,0
166.72,14,Online,Utilities,India,0.051,0.15,1596,14,0,0
11.78,16,ATM,Utilities,India,0.385,0.494,2766,12,0,0
157.91,18,Online,Utilities,UAE,0.266,0.229,2336,10,1,0
45.62,17,ATM,Grocery,UAE,0.1,0.502,2494,19,1,0
97.22,13,POS,Utilities,India,0.194,0.558,602,16,0,0
21.61,14,Bank Transfer,Travel,UAE,0.1,0.276,2337,11,1,0
251.8,12,POS,Food,India,0.375,0.246,1715,17,0,0
231.74,8,Online,Food,India,0.211,0.044,2359,14,0,0
174.09,17,Bank Transfer,Travel,India,0.315,0.194,719,13,0,0
14.66,21,POS,Grocery,India,0.422,0.121,769,8,0,0
152.8,16,POS,Utilities,India,0.124,0.222,2880,11,0,0
99.97,18,Online,Utilities,USA,0.06,0.368,1225,10,1,0
13.39,19,Online,Travel,India,0.061,0.172,2772,12,0,0
65.09,8,Bank Transfer,Food,India,0.319,0.1,667,15,0,0
96.02,1,ATM,Grocery,USA,0.506,0.289,978,15,1,0
116.29,8,Online,Food,UK,0.337,0.253,1244,10,1,0
79.62,18,Bank Transfer,Travel,UAE,0.168,0.217,465,16,1,0
89.23,19,Online,Entertainment,India,0.278,0.493,1261,17,0,0
291.08,12,Bank Transfer,Food,Singapore,0.054,0.165,443,10,1,0
227.25,18,POS,Electronics,India,0.18,0.342,435,11,0,0
3.79,1,Online,Entertainment,India,0.534,0.287,529,11,0,1
48.55,15,POS,Electronics,USA,0.216,0.327,1072,8,1,0
56.56,16,POS,Grocery,India,0.327,0.587,1895,14,0,0
11.56,12,ATM,Food,UK,0.659,0.36,1137,16,1,0
73.27,17,POS,Entertainment,India,0.126,0.211,538,12,0,0
232.47,11,Online,Electronics,India,0.425,0.24,2861,9,0,0
22.5,12,Online,Travel,India,0.228,0.26,552,15,0,0
93.35,14,POS,Grocery,India,0.172,0.133,1909,9,0,0
26.69,19,Online,Travel,India,0.122,0.399,1208,10,0,0
34.06,5,Online,Entertainment,India,0.36,0.358,167,9,0,0
292.19,7,Bank Transfer,Travel,India,0.062,0.213,2381,18,0,0
38.76,10,POS,Utilities,UK,0.07,0.168,315,17,1,0
105.87,4,Bank Transfer,Travel,India,0.126,0.285,401,11,0,0
10.27,8,ATM,Electronics,India,0.372,0.177,141,14,0,0
429.37,8,Online,Entertainment,India,0.187,0.349,471,13,0,0
121.83,7,Online,Food,India,0.147,0.121,943,10,0,0
55.56,9,ATM,Grocery,India,0.451,0.398,227,11,0,0
118.58,12,ATM,Grocery,USA,0.062,0.18,543,17,1,0
16.28,16,POS,Travel,Singapore,0.526,0.513,192,11,1,0
217.57,7,Bank Transfer,Utilities,India,0.266,0.198,664,20,0,0
48.23,20,Bank Transfer,Grocery,UK,0.204,0.283,493,13,1,0
54.38,11,Online,Grocery,India,0.089,0.102,848,6,0,0
40.79,17,ATM,Entertainment,India,0.259,0.216,2387,7,0,0
37.31,2,Online,Food,India,0.106,0.279,355,7,0,0
133.58,4,ATM,Utilities,India,0.448,0.329,2955,11,0,0
86.13,10,ATM,Travel,India,0.333,0.511,1534,13,0,0
127.96,8,POS,Food,India,0.567,0.076,615,8,0,0
66.1,11,POS,Grocery,India,0.134,0.479,486,15,0,0
111.41,3,POS,Food,India,0.087,0.319,546,12,0,0
43.87,11,Bank Transfer,Grocery,India,0.105,0.08,2298,15,0,0
620.01,16,Online,Utilities,UK,0.72,0.544,496,11,1,1
13.9,17,Bank Transfer,Electronics,Singapore,0.289,0.306,1656,20,1,1
235.32,5,Online,Travel,India,0.292,0.231,132,11,0,0
261.89,8,POS,Utilities,India,0.22,0.511,1329,12,0,0
28.44,12,Bank Transfer,Grocery,India,0.467,0.045,2522,19,0,0
619.72,12,Online,Entertainment,Singapore,0.132,0.423,2405,8,1,0
180.46,19,Online,Food,India,0.252,0.081,1530,11,0,0
176.12,9,POS,Entertainment,India,0.309,0.276,778,12,0,0
68.58,16,POS,Travel,UAE,0.437,0.306,991,13,1,0
53.67,21,POS,Utilities,India,0.365,0.192,984,9,0,0
54.09,7,Online,Electronics,India,0.566,0.105,628,7,0,0
98.55,19,Online,Electronics,Singapore,0.125,0.177,1988,12,1,0
270.75,7,POS,Electronics,UAE,0.2,0.335,524,15,1,0
79.94,8,POS,Travel,India,0.477,0.435,2895,14,0,0
26.8,15,POS,Travel,India,0.269,0.114,331,13,0,0
152.08,14,Online,Grocery,India,0.396,0.116,1873,16,0,0
167.53,13,Bank Transfer,Electronics,India,0.289,0.261,1998,12,0,0
128.34,5,Online,Electronics,India,0.301,0.131,1968,13,0,0
140.54,2,POS,Electronics,India,0.069,0.119,1978,10,0,0
50.86,21,Online,Utilities,India,0.349,0.069,1349,13,0,0
26.34,20,Bank Transfer,Grocery,UK,0.339,0.393,383,7,1,0
27.99,21,ATM,Utilities,UAE,0.096,0.505,1857,19,1,0
12.99,12,ATM,Utilities,Singapore,0.243,0.207,635,9,1,0
84.52,21,Bank Transfer,Grocery,India,0.16,0.468,611,13,0,0
61.35,11,Online,Entertainment,India,0.59,0.173,2455,8,0,0
42.95,1,Bank Transfer,Travel,India,0.201,0.385,418,13,0,0
3.47,4,POS,Grocery,India,0.053,0.288,1604,9,0,0
19.16,6,ATM,Utilities,India,0.459,0.21,1094,10,0,0
204.56,9,Bank Transfer,Grocery,UK,0.355,0.133,534,15,1,0
34.31,22,Bank Transfer,Travel,India,0.197,0.224,2862,7,0,0
95.64,7,Online,Grocery,India,0.279,0.097,1955,15,0,0
16.6,14,ATM,Grocery,India,0.324,0.074,1446,11,0,0
281.1,6,POS,Grocery,UAE,0.364,0.219,2526,6,1,1
57.74,15,Online,Utilities,USA,0.234,0.354,1030,9,1,0
89.13,13,Online,Grocery,India,0.331,0.295,986,13,0,0
682.51,3,Online,Entertainment,India,0.407,0.205,102,15,0,0
303.82,11,Online,Grocery,UAE,0.08,0.357,2285,13,1,0
49.08,2,POS,Utilities,India,0.109,0.501,2900,12,0,0
36.85,21,POS,Utilities,India,0.172,0.29,2522,15,0,0
48.16,16,POS,Food,USA,0.076,0.196,57,15,1,0
111.04,22,Online,Entertainment,USA,0.62,0.345,1043,7,1,0
60.03,21,Online,Travel,India,0.106,0.13,2876,14,0,0
44.91,5,ATM,Entertainment,UAE,0.432,0.522,2772,13,1,0
289.22,16,POS,Travel,India,0.085,0.118,632,7,0,0
59.49,2,ATM,Food,India,0.147,0.101,1208,13,0,0
664.87,23,Online,Utilities,India,0.411,0.256,1658,15,0,0
73.02,18,POS,Entertainment,India,0.51,0.255,321,4,0,0
397.55,16,POS,Travel,India,0.093,0.256,1172,8,0,0
95.33,23,Online,Entertainment,UK,0.386,0.294,2272,7,1,0
174.68,20,Online,Utilities,Singapore,0.057,0.357,2253,16,1,0
32.31,20,POS,Utilities,India,0.092,0.175,522,10,0,0
28.4,2,POS,Entertainment,UK,0.452,0.195,1566,11,1,1
105.61,0,POS,Entertainment,UAE,0.586,0.138,619,12,1,0
179.21,23,POS,Entertainment,India,0.475,0.132,2232,14,0,0
69.43,6,POS,Entertainment,USA,0.44,0.308,1966,10,1,0
18.42,10,ATM,Grocery,UAE,0.324,0.475,2071,5,1,0
17.11,1,Online,Entertainment,UK,0.208,0.528,1521,12,1,0
16.0,14,Online,Travel,India,0.518,0.496,1113,8,0,0
11.39,19,Online,Food,Singapore,0.345,0.09,239,10,1,0
74.4,20,Online,Electronics,USA,0.151,0.226,2255,13,1,0
205.42,13,POS,Travel,India,0.095,0.133,2401,8,0,0
65.8,15,POS,Travel,India,0.14,0.123,1275,14,0,0
6.96,12,POS,Grocery,India,0.242,0.205,61,10,0,0
55.1,10,Online,Electronics,India,0.199,0.148,1662,12,0,0
56.67,13,Online,Electronics,India,0.419,0.386,573,12,0,0
542.4,22,Online,Electronics,India,0.111,0.242,2781,15,0,0
15.53,6,Online,Grocery,Singapore,0.316,0.235,1878,15,1,0
45.12,11,Bank Transfer,Food,USA,0.042,0.738,2958,13,1,0
367.18,14,POS,Travel,India,0.172,0.3,2308,16,0,0
104.58,13,Online,Utilities,India,0.505,0.436,2641,9,0,0
117.13,0,Online,Grocery,India,0.15,0.307,1367,10,0,0
74.78,6,ATM,Grocery,India,0.394,0.274,2833,18,0,0
92.75,15,ATM,Travel,India,0.074,0.33,1357,12,0,0
145.13,16,ATM,Electronics,India,0.153,0.118,1178,12,0,0
29.68,17,POS,Utilities,UAE,0.285,0.189,2819,15,1,0
160.46,23,Online,Food,India,0.442,0.448,1071,17,0,0
16.89,16,ATM,Electronics,India,0.279,0.633,908,8,0,0
92.61,13,Online,Utilities,Singapore,0.317,0.05,1560,9,1,0
79.74,7,Bank Transfer,Travel,India,0.114,0.257,1645,15,0,0
36.01,8,Online,Utilities,India,0.281,0.188,1626,13,0,0
65.19,19,Online,Electronics,India,0.288,0.06,1934,16,0,0
35.78,11,Online,Travel,USA,0.221,0.175,1377,13,1,0
22.84,17,Online,Travel,India,0.504,0.03,2782,11,0,0
46.82,2,ATM,Grocery,UK,0.117,0.48,2685,8,1,0
22.11,3,POS,Entertainment,India,0.064,0.129,2293,14,0,0
92.09,5,Online,Food,Singapore,0.31,0.122,1073,12,1,0
21.11,4,Online,Food,India,0.405,0.256,356,14,0,1
135.91,14,Bank Transfer,Food,UK,0.259,0.129,10,9,1,0
20.46,15,Online,Grocery,USA,0.356,0.204,2296,13,1,1
37.85,13,Bank Transfer,Utilities,India,0.584,0.238,475,19,0,0
35.71,6,Bank Transfer,Food,USA,0.171,0.074,1865,13,1,0
250.92,13,POS,Entertainment,USA,0.086,0.332,1326,10,1,0
92.79,2,Bank Transfer,Grocery,India,0.414,0.145,2323,13,0,0
53.96,11,Bank Transfer,Entertainment,USA,0.178,0.335,2563,8,1,1
109.81,3,POS,Entertainment,India,0.284,0.183,294,12,0,0
8.11,1,Online,Electronics,India,0.342,0.071,1449,17,0,0
63.87,3,POS,Utilities,India,0.364,0.045,2761,9,0,0
491.53,2,Online,Food,India,0.771,0.27,1146,14,0,0
76.12,11,POS,Utilities,India,0.323,0.541,2381,9,0,0
71.37,13,ATM,Entertainment,India,0.076,0.13,2224,14,0,0
115.37,14,Online,Travel,India,0.692,0.093,2543,15,0,0
163.3,10,Online,Utilities,India,0.543,0.391,220,8,0,0
9.05,4,POS,Entertainment,India,0.332,0.508,2642,13,0,0
12.4,0,Online,Travel,India,0.378,0.302,44,15,0,0
82.29,17,Online,Entertainment,UAE,0.147,0.104,288,7,1,0
32.63,23,Online,Electronics,UK,0.395,0.096,542,14,1,0
247.65,6,POS,Utilities,India,0.121,0.566,2394,16,0,0
48.66,4,POS,Travel,India,0.254,0.549,443,12,0,0
9.64,7,Online,Travel,India,0.163,0.377,2100,14,0,0
18.76,5,Bank Transfer,Electronics,India,0.262,0.023,875,8,0,0
4.26,5,POS,Electronics,India,0.329,0.436,2041,8,0,0
52.77,11,Online,Food,USA,0.065,0.387,2089,17,1,0
55.24,18,POS,Travel,India,0.368,0.108,1147,16,0,0
43.62,17,ATM,Entertainment,India,0.086,0.224,2890,12,0,0
196.15,23,POS,Grocery,USA,0.416,0.355,792,16,1,0
221.08,8,Online,Travel,India,0.317,0.347,244,8,0,0
56.24,11,Online,Food,Singapore,0.162,0.276,1827,9,1,0
7.89,9,POS,Travel,UAE,0.08,0.416,165,8,1,0
123.63,1,POS,Electronics,India,0.38,0.035,858,9,0,0
116.21,9,Online,Food,UK,0.457,0.627,1539,12,1,0
90.87,6,Online,Travel,UK,0.169,0.303,2751,9,1,0
177.95,11,Bank Transfer,Utilities,India,0.276,0.162,2119,12,0,0
20.8,3,Online,Utilities,India,0.197,0.319,1825,15,0,0
497.08,17,Bank Transfer,Utilities,UK,0.806,0.479,1593,11,1,0
25.55,20,Online,Electronics,India,0.192,0.231,1077,17,0,0
141.07,23,POS,Electronics,India,0.276,0.301,2484,8,0,0
12.34,2,POS,Utilities,India,0.556,0.098,64,9,0,0
26.3,2,Online,Entertainment,India,0.168,0.471,478,13,0,0
303.8,23,POS,Entertainment,India,0.296,0.426,481,16,0,0
51.37,20,Bank Transfer,Travel,UAE,0.289,0.516,1867,12,1,0
